species_key,canonical_botanical_name,display_common_name,wikipedia_url
abies,Abies sp.,Fir,https://en.wikipedia.org/wiki/Fir
abies_balsamea,Abies balsamea,Balsam Fir,https://en.wikipedia.org/wiki/Abies_balsamea
acer,Acer sp.,Maple,https://en.wikipedia.org/wiki/Maple
acer_campestre,Acer campestre,Hedge Maple,https://en.wikipedia.org/wiki/Acer_campestre
acer_ginnala,Acer ginnala,Amur Maple,https://en.wikipedia.org/wiki/Acer_ginnala
acer_negundo,Acer negundo,Manitoba Maple,https://en.wikipedia.org/wiki/Acer_negundo
acer_platanoides,Acer platanoides,Norway Maple,https://en.wikipedia.org/wiki/Acer_platanoides
acer_platanoides_crimson_king,Acer platanoides 'Crimson King',Crimson King Norway Maple,https://en.wikipedia.org/wiki/Acer_platanoides
acer_platanoides_schwedleri,Acer platanoides 'Schwedleri',Schwedler Norway Maple,https://en.wikipedia.org/wiki/Acer_platanoides
acer_pseudoplatanus,Acer pseudoplatanus,Sycamore Maple,https://en.wikipedia.org/wiki/Acer_pseudoplatanus
acer_rubrum,Acer rubrum,Red Maple,https://en.wikipedia.org/wiki/Acer_rubrum
acer_saccharinum,Acer saccharinum,Silver Maple,https://en.wikipedia.org/wiki/Acer_saccharinum
acer_saccharum,Acer saccharum,Sugar Maple,https://en.wikipedia.org/wiki/Acer_saccharum
acer_x_freemanii_autumn_blaze,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,https://en.wikipedia.org/wiki/Acer_%C3%97_freemanii
aesculus,Aesculus sp.,Horsechestnut,https://en.wikipedia.org/wiki/Aesculus
aesculus_glabra,Aesculus glabra,Ohio Buckeye,https://en.wikipedia.org/wiki/Aesculus_glabra
aesculus_hippocastanum,Aesculus hippocastanum,Common Horsechestnut,https://en.wikipedia.org/wiki/Aesculus_hippocastanum
betula,Betula sp.,Birch,https://en.wikipedia.org/wiki/Birch
betula_papyrifera,Betula papyrifera,White Birch,https://en.wikipedia.org/wiki/Betula_papyrifera
betula_pendula,Betula pendula,Silver Birch,https://en.wikipedia.org/wiki/Betula_pendula
betula_populifolia,Betula populifolia,Grey Birch,https://en.wikipedia.org/wiki/Betula_populifolia
carpinus,Carpinus sp.,Hornbeam,https://en.wikipedia.org/wiki/Carpinus
carpinus_betulus,Carpinus betulus,European Hornbeam,https://en.wikipedia.org/wiki/Carpinus_betulus
cedrus,Cedrus sp.,Cedar,https://en.wikipedia.org/wiki/Cedrus
cedrus_atlantica,Cedrus atlantica,Atlas Cedar,https://en.wikipedia.org/wiki/Cedrus_atlantica
cercis_siliquastrum,Cercis siliquastrum,Judas Tree,https://en.wikipedia.org/wiki/Cercis_siliquastrum
celtis_australis,Celtis australis,Mediterranean Hackberry,https://en.wikipedia.org/wiki/Celtis_australis
celtis_occidentalis,Celtis occidentalis,Hackberry,https://en.wikipedia.org/wiki/Celtis_occidentalis
chamaecyparis_lawsoniana,Chamaecyparis lawsoniana,Lawson Cypress,https://en.wikipedia.org/wiki/Chamaecyparis_lawsoniana
cupressus,Cupressus sp.,Cypress,https://en.wikipedia.org/wiki/Cupressus
cydonia_oblonga,Cydonia oblonga,Quince,https://en.wikipedia.org/wiki/Quince
fagus,Fagus sp.,Beech,https://en.wikipedia.org/wiki/Beech
fagus_sylvatica,Fagus sylvatica,European Beech,https://en.wikipedia.org/wiki/Fagus_sylvatica
fraxinus,Fraxinus sp.,Ash,https://en.wikipedia.org/wiki/Fraxinus
fraxinus_excelsior,Fraxinus excelsior,European Ash,https://en.wikipedia.org/wiki/Fraxinus_excelsior
fraxinus_pennsylvanica,Fraxinus pennsylvanica,Green Ash,https://en.wikipedia.org/wiki/Fraxinus_pennsylvanica
ginkgo_biloba,Ginkgo biloba,Ginkgo,https://en.wikipedia.org/wiki/Ginkgo_biloba
gleditsia_triacanthos,Gleditsia triacanthos,Honey Locust,https://en.wikipedia.org/wiki/Honey_locust
gleditsia_triacanthos_shademaster,Gleditsia triacanthos 'Shademaster',Shademaster Honey Locust,https://en.wikipedia.org/wiki/Honey_locust
gleditsia_triacanthos_skyline,Gleditsia triacanthos 'Skyline',Skyline Honey Locust,https://en.wikipedia.org/wiki/Honey_locust
gymnocladus_dioicus,Gymnocladus dioicus,Kentucky Coffeetree,https://en.wikipedia.org/wiki/Kentucky_coffeetree
juglans,Juglans sp.,Walnut,https://en.wikipedia.org/wiki/Juglans
